_key,ल्युट्,अनीयर्,ण्वुल्,तुमुन्,तव्य,तृच्,क्त्वा,ल्यप्,क्तवतुँ,क्त,शतृँ,शानच्,शतृ
01.0001,भवनम्,"भवनीयः,भवनीया","भावकः,भाविका",भवितुम्,"भवितव्यः,भवितव्या","भविता,भवित्री",भूत्वा,प्रभूय,"भूतवान्,भूतवती","भूतः,भूता","भवन्,भवन्ती",,
01.0002,एधनम्,"एधनीयः,एधनीया","एधकः,एधिका",एधितुम्,"एधितव्यः,एधितव्या","एधिता,एधित्री",एधित्वा,प्र एध्य,"एधितवान्,एधितवती","एधितः,एधिता",,"एधमानः,एधमाना",
01.0003,स्पर्धनम्,"स्पर्धनीयः,स्पर्धनीया","स्पर्धकः,स्पर्धिका",स्पर्धितुम्,"स्पर्धितव्यः,स्पर्धितव्या","स्पर्धिता,स्पर्धित्री",स्पर्धित्वा,प्रस्पर्ध्य,"स्पर्धितवान्,स्पर्धितवती","स्पर्धितः,स्पर्धिता",,"स्पर्धमानः,स्पर्धमाना",
01.0004,गाधनम्,"गाधनीयः,गाधनीया","गाधकः,गाधिका",गाधितुम्,"गाधितव्यः,गाधितव्या","गाधिता,गाधित्री",गाधित्वा,प्रगाध्य,"गाधितवान्,गाधितवती","गाधितः,गाधिता",,"गाधमानः,गाधमाना",
01.0005,बाधनम्,"बाधनीयः,बाधनीया","बाधकः,बाधिका",बाधितुम्,"बाधितव्यः,बाधितव्या","बाधिता,बाधित्री",बाधित्वा,प्रबाध्य,"बाधितवान्,बाधितवती","बाधितः,बाधिता",,"बाधमानः,बाधमाना",
01.0006,नाधनम्,"नाधनीयः,नाधनीया","नाधकः,नाधिका",नाधितुम्,"नाधितव्यः,नाधितव्या","नाधिता,नाधित्री",नाधित्वा,प्रनाध्य,"नाधितवान्,नाधितवती","नाधितः,नाधिता",,"नाधमानः,नाधमाना",
01.0007,नाथनम्,"नाथनीयः,नाथनीया","नाथकः,नाथिका",नाथितुम्,"नाथितव्यः,नाथितव्या","नाथिता,नाथित्री",नाथित्वा,प्रनाथ्य,"नाथितवान्,नाथितवती","नाथितः,नाथिता",,"नाथमानः,नाथमाना",
01.0008,दधनम्,"दधनीयः,दधनीया","दाधकः,दाधिका",दधितुम्,"दधितव्यः,दधितव्या","दधिता,दधित्री",दधित्वा,प्रदध्य,"दधितवान्,दधितवती","दधितः,दधिता",,"दधमानः,दधमाना",
01.0009,स्कुन्दनम्,"स्कुन्दनीयः,स्कुन्दनीया","स्कुन्दकः,स्कुन्दिका",स्कुन्दितुम्,"स्कुन्दितव्यः,स्कुन्दितव्या","स्कुन्दिता,स्कुन्दित्री",स्कुन्दित्वा,प्रस्कुन्द्य,"स्कुन्दितवान्,स्कुन्दितवती","स्कुन्दितः,स्कुन्दिता",,"स्कुन्दमानः,स्कुन्दमाना",
01.0010,श्विन्दनम्,"श्विन्दनीयः,श्विन्दनीया","श्विन्दकः,श्विन्दिका",श्विन्दितुम्,"श्विन्दितव्यः,श्विन्दितव्या","श्विन्दिता,श्विन्दित्री",श्विन्दित्वा,प्रश्विन्द्य,"श्विन्दितवान्,श्विन्दितवती","श्विन्दितः,श्विन्दिता",,"श्विन्दमानः,श्विन्दमाना",
01.0011,वन्दनम्,"वन्दनीयः,वन्दनीया","वन्दकः,वन्दिका",वन्दितुम्,"वन्दितव्यः,वन्दितव्या","वन्दिता,वन्दित्री",वन्दित्वा,प्रवन्द्य,"वन्दितवान्,वन्दितवती","वन्दितः,वन्दिता",,"वन्दमानः,वन्दमाना",
01.0012,भन्दनम्,"भन्दनीयः,भन्दनीया","भन्दकः,भन्दिका",भन्दितुम्,"भन्दितव्यः,भन्दितव्या","भन्दिता,भन्दित्री",भन्दित्वा,प्रभन्द्य,"भन्दितवान्,भन्दितवती","भन्दितः,भन्दिता",,"भन्दमानः,भन्दमाना",
01.0013,मन्दनम्,"मन्दनीयः,मन्दनीया","मन्दकः,मन्दिका",मन्दितुम्,"मन्दितव्यः,मन्दितव्या","मन्दिता,मन्दित्री",मन्दित्वा,प्रमन्द्य,"मन्दितवान्,मन्दितवती","मन्दितः,मन्दिता",,"मन्दमानः,मन्दमाना",
01.0014,स्पन्दनम्,"स्पन्दनीयः,स्पन्दनीया","स्पन्दकः,स्पन्दिका",स्पन्दितुम्,"स्पन्दितव्यः,स्पन्दितव्या","स्पन्दिता,स्पन्दित्री",स्पन्दित्वा,प्रस्पन्द्य,"स्पन्दितवान्,स्पन्दितवती","स्पन्दितः,स्पन्दिता",,"स्पन्दमानः,स्पन्दमाना",
